,Interarrival times (>M7)
531,135 days
532,2 days
533,8 days
534,1 days
535,1 days
536,5 days
537,1 days
538,65 days
539,113 days
540,18 days
541,14 days
542,90 days
543,44 days
544,27 days
545,10 days
546,2 days
547,5 days
548,18 days
549,109 days
550,34 days
551,6 days
552,29 days
553,0 days
554,10 days
555,3 days
556,48 days
557,6 days
558,32 days
559,45 days
560,42 days
561,62 days
562,14 days
563,7 days
564,10 days
565,76 days
566,25 days
567,9 days
568,8 days
