Latitude,Longitude,SOURCE,SOURCE.NAM,OTHER.NAME,WELL.ID,Al (ppb),As (ppb),Ba (ppb),Ca (ppb),Cl (ppb),Cr (ppb),Cu (ppb),F (ppb),Fe (ppb),K (ppb),Mg (ppb),Mn (ppb),Mo (ppb),Ni (ppb),NO3 (ppb),Pb (ppb),Se (ppb),SO4 (ppb),Sr (ppb),U (ppb),V (ppb0,Zn (ppb),Cr_level,Cr_level1
36.83638889,-120.67394440000001,USGS,DM-19,DM-19,DM-19,34.0,0.7,11.3,92100.0,153000.0,6.2,3.6,340.0,6.0,1800.0,38900.0,1.42,81.3,0.4,1250.0,1.17,8.0,553000.0,1280.0,4.0404,4.0,5.0,3,Normal Cr
37.54566667,-121.26397220000001,USGS,DM-21,DM-21,DM-21,17.0,0.76,25.0,52900.0,107000.0,2.9,3.8,480.0,87.5,2510.0,46200.0,1.9,3.69,1.0,5890.0,1.48,1.3,220000.0,798.0,2.8268,3.0,3.9,2,Normal Cr
37.54566667,-121.26397220000001,USGS,DM-21,DM-21,DM-21,3.0,0.79,27.1,47500.0,112000.0,1.1,5.0,510.0,131.0,2410.0,44700.0,6.83,3.61,0.35,4560.0,0.085,2.2,258000.0,834.0,2.7528,2.6,84.0,1,Normal Cr
36.89252778,-120.56375,USGS,DM-22,DM-22,DM-22,6.8,9.3,31.0,310000.0,1050000.0,0.32,2.0,120.0,187.0,8170.0,135000.0,3190.0,11.0,3.8,40.0,0.06,0.09,1000000.0,4090.0,4.1144,3.9,2.9,0,Normal Cr
36.98552778,-120.58305559999998,USGS,DM-24,DM-24,DM-24,3.4,3.7,127.0,101000.0,390000.0,0.12,1.0,90.0,1160.0,4080.0,57100.0,2680.0,3.04,1.9,40.0,0.059000000000000004,0.04,213000.0,1300.0,0.46324,1.2,4.7,0,Normal Cr
37.08430556,-120.70791670000001,USGS,DM-25,DM-25,DM-25,3.4,7.6,57.4,35800.0,149000.0,0.07,1.0,150.0,270.0,1580.0,18200.0,617.0,9.33,0.42,40.0,0.179,0.04,77400.0,413.0,1.6132,0.81,2.0,0,Normal Cr
37.10138889,-120.82061110000001,USGS,DM-27,DM-27,DM-27,12.5,6.1,17.2,51700.0,297000.0,0.6,1.6,220.0,63.2,2800.0,46000.0,709.0,25.1,0.4,40.0,0.08,0.05,610000.0,1150.0,0.59644,2.8,5.6,0,Normal Cr
37.10138889,-120.82061110000001,USGS,DM-27,DM-27,DM-27,3.4,7.9,19.2,82500.0,473000.0,0.24,2.0,170.0,918.0,3270.0,18400.0,363.0,47.7,0.65,39.0,0.06,0.14,729000.0,643.0,0.3848,0.35,4.0,0,Normal Cr
37.16080556,-120.75794440000001,USGS,DM-29,DM-29,DM-29,3.4,15.6,223.0,114000.0,235000.0,0.12,2.0,130.0,11200.0,3310.0,42300.0,4750.0,2.95,1.7,38.0,0.027000000000000003,0.09,216000.0,1000.0,0.90428,0.4,1.7,0,Normal Cr
37.10355552,-120.8343608,USGS,DM-U-01,DM-U-01,DM-U-01,3.4,13.4,66.2,85700.0,194000.0,0.12,1.0,180.0,122.0,2150.0,54100.0,335.0,3.73,0.52,40.0,0.025,0.04,264000.0,1460.0,13.024000000000001,0.4,9.4,0,Normal Cr
37.35021503,-120.97742779999999,USGS,DM-U-03,DM-U-03,DM-U-03,17.0,3.3,83.7,164000.0,467000.0,6.1,5.0,270.0,3.2,2950.0,131000.0,1.3,29.3,2.8,13000.0,0.15,6.4,802000.0,1910.0,56.536,8.0,14.0,3,Normal Cr
37.01728056,-120.8999278,USGS,DM-U-04,DM-U-04,DM-U-04,2.6,5.1,68.7,46600.0,63100.0,0.95,1.0,240.0,6.0,2600.0,28000.0,3.98,1.35,0.55,1980.0,0.017,0.61,75100.0,605.0,1.11,6.2,2.8,0,Normal Cr
37.01728056,-120.8999278,USGS,DM-U-05,DM-U-05,DM-U-05,3.4,7.4,72.8,51300.0,79900.0,5.4,1.0,210.0,4.9,2270.0,24300.0,3.17,1.73,0.54,2610.0,0.024,0.47,62900.0,561.0,1.7908,7.2,1.4,3,Normal Cr
37.01728056,-120.8999278,USGS,DM-U-06,DM-U-06,DM-U-06,2.0,9.7,57.0,42600.0,47100.0,1.8,1.0,210.0,6.0,2990.0,20200.0,5.42,2.48,0.65,1460.0,0.03,0.61,67700.0,455.0,1.9684,6.7,2.8,1,Normal Cr
36.88959444,-120.67016389999999,USGS,DM-U-07,DM-U-07,DM-U-07,17.0,12.8,22.3,15500.0,112000.0,0.6,5.0,260.0,9.9,1140.0,2720.0,66.2,55.0,1.1,40.0,0.15,0.2,316000.0,163.0,0.41736,0.63,14.0,0,Normal Cr
36.88959444,-120.67016389999999,USGS,DM-U-08,DM-U-08,DM-U-08,27.2,7.9,41.7,47900.0,256000.0,0.58,8.0,360.0,7.6,2810.0,18100.0,130.0,22.6,0.93,40.0,0.24,2.5,152000.0,857.0,4.9432,8.0,22.4,0,Normal Cr
36.88959444,-120.67016389999999,USGS,DM-U-09,DM-U-09,DM-U-09,23.8,0.42,17.3,240000.0,322000.0,9.7,7.0,240.0,12.0,2590.0,89300.0,25.1,9.02,1.0,12700.0,0.21,6.0,916000.0,4930.0,3.2560000000000002,2.0,19.6,3,Normal Cr
36.78068056,-120.3722028,USGS,DM-U-10,DM-U-10,DM-U-10,34.0,7.1,25.9,34400.0,453000.0,1.2,10.0,480.0,12.0,2750.0,4130.0,112.0,38.9,1.2,40.0,0.3,0.4,474000.0,308.0,4.6472,3.0,28.0,1,Normal Cr
36.78068056,-120.3722028,USGS,DM-U-11,DM-U-11,DM-U-11,9.8,9.5,30.9,33900.0,96400.0,0.09,0.82,400.0,75.7,4510.0,13100.0,366.0,30.0,2.0,40.0,0.057999999999999996,0.12,81700.0,292.0,6.3936,1.9,2.8,0,Normal Cr
36.78068056,-120.3722028,USGS,DM-U-12,DM-U-12,DM-U-12,27.2,18.1,30.9,10100.0,206000.0,0.96,8.0,620.0,9.6,3670.0,1090.0,52.7,0.888,0.67,40.0,0.24,0.32,185000.0,101.0,0.76812,7.3,22.4,0,Normal Cr
37.29069444,-121.08755559999999,USGS,DM-U-13,DM-U-13,DM-U-13,3.1,7.2,53.5,21600.0,23700.0,1.6,1.0,350.0,6.0,4330.0,10700.0,5.54,5.82,0.83,14000.0,0.018000000000000002,0.69,21700.0,436.0,0.44843999999999995,21.2,2.8,1,Normal Cr
37.43161111,-121.09947220000001,USGS,DM-U-15,DM-U-15,DM-U-15,2.1,1.3,33.4,64100.0,62000.0,7.2,1.0,530.0,6.0,1050.0,29200.0,1.06,3.22,2.1,13400.0,0.03,1.4,121000.0,841.0,13.2016,3.5,2.8,3,Normal Cr
